10,1
1,1
30,1
20,1
91,2
387,2
92,2
361,2
55,2
99,2
83,2
62,2
56,2
139,2
105,2
65,2
40,2
101,2
51,2
89,2
59,2
52,2
114,2
50,2
57,2
66,2
96,2
112,2
76,2
44,2
80,2
42,2
107,2
73,2
45,2
116,2
70,2
60,2
223,3
113,3
230,3
115,3
84,3
140,3
82,3
244,3
191,3
161,3
121,3
185,3
129,3
90,3
238,3
252,3
353,3
268,3
119,3
281,3
120,3
152,3
228,3
290,3
263,3
93,3
117,3
277,3
110,3
226,3
236,3
225,3
94,3
81,3
193,3
180,3
186,3
278,3
224,3
104,3
108,3
181,3
122,3
187,3
306,3
232,3
102,3
279,3
179,3
123,3
151,3
109,3
